Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/factorize/1039137903158703521332650183360460783,1,0,565682.8755500028,565682.8755500028,565682.8755500028,565682.8755500028,774.0,0.0007895153136455392,0.0,566000,566000,566000,566000,566000,566000,566000,566000,566000,566000,566000
GET,/api/factorize/1082745516515618627335003,1,0,149695.15609600057,149695.15609600057,149695.15609600057,149695.15609600057,73.0,0.0007895153136455392,0.0,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000
GET,/api/factorize/664398872657467523,1,0,27375.637560006,27375.637560006,27375.637560006,27375.637560006,67.0,0.0007895153136455392,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,/api/factorize/792665042234851453,1,0,31559.89310600853,31559.89310600853,31559.89310600853,31559.89310600853,67.0,0.0007895153136455392,0.0,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000
GET,/api/factorize/808267623222262673580091,1,0,129889.48181498563,129889.48181498563,129889.48181498563,129889.48181498563,73.0,0.0007895153136455392,0.0,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000
GET,/api/factorize/821540805765780943,1,0,26502.353611998842,26502.353611998842,26502.353611998842,26502.353611998842,67.0,0.0007895153136455392,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,/api/factorize/855852082054142051,1,0,29990.334677000646,29990.334677000646,29990.334677000646,29990.334677000646,67.0,0.0007895153136455392,0.0,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/factorize/959645548660089755728171,1,0,158339.79683699727,158339.79683699727,158339.79683699727,158339.79683699727,73.0,0.0007895153136455392,0.0,158000,158000,158000,158000,158000,158000,158000,158000,158000,158000,158000
GET,/api/factorize/977445261467952413278379,1,0,147553.46942599863,147553.46942599863,147553.46942599863,147553.46942599863,73.0,0.0007895153136455392,0.0,148000,148000,148000,148000,148000,148000,148000,148000,148000,148000,148000
,Aggregated,9,0,130000.0,140732.11096433323,26502.353611998842,565682.8755500028,148.22222222222223,0.007105637822809853,0.0,130000,148000,150000,158000,566000,566000,566000,566000,566000,566000,566000
